cas_number,ingredient_name,synonyms,category_4_limit_percent,reason,rule_year,source_pdf,smiles
97-53-0;8006-77-7;68991-20-8;92113-09-2;8007-00-9;8015-73-4;68916-05-2;8006-78-8;8015-79-0;68606-83-7;8021-43-0;8007-06-5;8007-80-5;8023-82-3;8015-91-6;8016-26-0;8000-29-1;8000-34-8;68916-09-6;90131-21-8;8023-94-7;8022-96-6;8024-43-9;8007-48-5;8007-02-1;8007-12-3;8008-45-5;8007-11-2;68917-05-5;90106-38-0;8007-01-0;8016-69-1;8016-88-4;8007-46-3;8024-03-1;8024-05-3;8024-37-1,Eugenol,"4-Allylcatechol-2-methyl ether 1-Allyl-4-hydroxy-3-methoxybenzene 4-Allyl-2-methoxyphenol Caryophyllic acid 2-Hydroxy-5-allylanisole 1-Hydroxy-2-methoxy-4-allylbenzene 4-Hydroxy-3-methoxy-1-allylbenzene 1-Hydroxy-2-methoxy-4-propenylbenzene 2-Methoxy-4-allylphenol 2-Methoxy-4-(2-propenyl)phenol Phenol, 2-methoxy-4-(2-propenyl)- Eugenic acid Allylguaiacol 4-Allylguaiacol",2.5,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Eugenol.pdf,COc1cc(CC=C)ccc1O
31906-04-4;51414-25-6;67634-12-2,3 and 4-(4-Hydroxy-4-methylpentyl)-3-cyclohexene-1-carboxaldehyde (HMPCC),"3-Cyclohexen-1-carboxaldehyde, 4-(4-hydroxy-4-methylpentyl)- 3-Cyclohexen-1-carboxaldehyde, 3-(4-hydroxy-4-methylpentyl)- Hydroxyisohexyl 3-cyclohexene carboxaldehyde 4-(4-Hydroxy-4-methylpenyl) cyclohex-3-enecarbaldehyde 3-(4-Hydroxy-4-methylpentyl) cyclohex-3-ene-1-carbaldehyde HICC Lyral (commercial name) Kovanol (commercial name) Mugonal (commercial name) Landolal (commercial name) Cyclohexal (commercial name)",0.2,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/3 and 4-(4-Hydroxy-4-methylpentyl)-3-cyclohexene-1-carboxaldehyde (HMPCC).pdf,CC(C)(O)CCCC1=CCC(CC1)C=O
762-26-5,"5,9-Dimethyl-4,8-decadienal","4,8-Decadienal, 5,9-dimethyl- 5,9-Dimethyldeca-4,8-dienal Geraldehyde (Commercial name) Geranyl Acetaldehyde (Commercial name)",3.0,Skin Sensitization; Systemic Toxicity,2020.0,"/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/5,9-Dimethyl-4,8-decadienal.pdf",CC(C)=CCC\C(C)=C/CCC=O
56973-85-4,"1-(5,5-Dimethyl-1-cyclohexen-1-yl)pent-4-en-1-one","α-Dynascone 4-Penten-1-one, 1-(5,5-dimethyl-1-cyclohexen-1-yl)- Dynascone (commercial name) Galbanone (commercial name) Galbascone (commercial name) Neobutenone (commercial name) Neogal (commercial name) Neogalbenum (commercial name)",1.1,Skin Sensitization; Systemic Toxicity,2020.0,"/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/1-(5,5-Dimethyl-1-cyclohexen-1-yl)pent-4-en-1-one.pdf",CC1(C)CCC=C(C1)C(=O)CCC=C
5392-40-5;141-27-5;106-26-3;8014-71-9;68917-80-6;8007-75-8;68648-33-9;8000-66-6;8023-82-3;68991-25-3;8000-29-1;233683-84-6;799259-56-6;92201-64-4;8000-46-2;68916-44-9;8007-08-7;8016-20-4;68916-46-1;938464-05-2;84929-31-7;8008-56-8;68648-39-5;68916-89-2;68917-33-9;72869-82-0;8007-02-1;8008-26-2;68917-71-5;68916-83-6;68916-84-7;93685-55-3;68855-99-2;68917-20-4;8016-33-9;1370641-98-7;93686-22-7;68514-75-0;8016-38-4;68916-04-1;8008-57-9;68916-02-9;68606-94-0,Citral,"3,7-Dimethyl-2,6-octadienal Geranial (trans-citral) Neral Geranial Lemarome (commercial name)",0.6,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Citral.pdf,CC(C)=CCC\C(C)=C\C=O
103694-68-4,"2,2-Dimethyl-3-(3-tolyl)propan-1-ol","Benzenepropanol,.ß.,. ß.,3-trimethyl 2,2-Dimethyl-3-(3-methylphenyl)propanol Benzene propanol Majantol (commercial name) Linlan alcohol (commercial name) Muguetol B (commercial name)",1.7,Skin Sensitization; Systemic Toxicity,2020.0,"/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/2,2-Dimethyl-3-(3-tolyl)propan-1-ol.pdf",Cc1cccc(CC(C)(C)CO)c1
123-11-5;8007-70-3;8015-73-4;8023-82-3;84625-39-8;8006-84-6;68916-48-3;8031-03-6;68952-43-2;8024-06-4;953789-39-4,p-Methoxybenzaldehyde,"Anisaldehyde p-Anisaldehyde Anisic aldehyde Benzaldehyde, 4-methoxy 4-Methoxybenzaldehyde Aubepine P Cresol (commercial name) Aubepine liquid (commercial name)",0.21,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/p-Methoxybenzaldehyde.pdf,COc1ccc(C=O)cc1
100-51-6;8007-00-9;8021-43-0;8023-82-3;8015-91-6;68916-09-6;683748-01-8;8023-94-7;8022-96-6;8024-43-9;103798-23-6;8031-03-6;68917-12-4;90106-38-0;8007-01-0;8046-19-3;8024-03-1;8024-05-3;8024-08-6;8006-81-3;68952-44-3,Benzyl alcohol,Benzenemethanol Benzylic alcohol α-Hydroxytoluene Phenylcarbinol Phenyl carbinol Phenylmethanol Phenylmethyl alcohol α-Toluenol,2.5,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Benzyl alcohol.pdf,OCc1ccccc1
105-13-5;1331-81-3;8023-82-3;8024-06-4;953789-39-4;8047-24-3,Anisyl alcohol,"Anisalcohol Anise alcohol Anisic alcohol Benzyl alcohol, p-methoxy p-Methoxybenzyl alcohol",0.21,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Anisyl alcohol.pdf,COc1ccc(CO)cc1
140-67-0;1407-27-8;77525-18-9;8007-70-3;8015-73-4;68916-05-2;8006-78-8;84625-39-8;8006-84-6;8006-83-5;8008-46-6;91770-56-8;68952-43-2;8016-88-4,Estragole,"p-Allylanisole 1-Allyl-4-methoxybenzene Benzene, 1-methoxy-4-(2-propenyl)- Chavicyl methyl ether Isoanethole p-Methoxyallylbenzene 1-Methoxy-4-(2-propen-1-yl)benzene Methyl chavicol",0.42,Skin Sensitization; Systemic Toxicity,2020.0,/Users/rim/Downloads/minerva/capstone/49th-amendment/Standards/Restriction (dermal sensitization and systemic toxicity)/Estragole.pdf,COc1ccc(CC=C)cc1
